Protein IDs,Majority_protein_IDs,Protein names,Gene names,Fasta headers,APC1-1,APC1-2,APC1-3,BRE2-1,BRE2-2,BRE2-3,BY4741-1,BY4741-2,BY4741-3,CCR4-1,CCR4-2,CCR4-3,NOT3-1,NOT3-2,NOT3-3,ORM1-1,ORM1-2,ORM1-3,ORM2-1,ORM2-2,ORM2-3
P39962,P39962,Casein kinase I homolog 3,YCK3,>sp|P39962|KC13_YEAST Casein kinase I homolog 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCK3 PE=1 SV=2,2,0,2,3,3,2,3,3,3,2,2,2,3,2,0,0,0,0,0,2,1
P39966,P39966,Protein phosphatase 2C homolog 2,PTC2,>sp|P39966|PP2C2_YEAST Protein phosphatase 2C homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PTC2 PE=1 SV=1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P39967,P39967,Ubiquitin carboxyl-terminal hydrolase 9,UBP9,>sp|P39967|UBP9_YEAST Ubiquitin carboxyl-terminal hydrolase 9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBP9 PE=1 SV=1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P39968,P39968,Vacuolar protein 8,VAC8,>sp|P39968|VAC8_YEAST Vacuolar protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VAC8 PE=1 SV=3,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0
P39969,P39969,Protein BOI2,BOI2,>sp|P39969|BOI2_YEAST Protein BOI2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BOI2 PE=1 SV=1,4,1,7,2,8,6,5,4,4,4,4,3,2,1,2,2,1,0,1,0,1
P39976,P39976,D-lactate dehydrogenase [cytochrome] 3,DLD3,>sp|P39976|DLD3_YEAST D-lactate dehydrogenase [cytochrome] 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD3 PE=1 SV=1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P39985,P39985,DNA polymerase V,POL5,>sp|P39985|DPO5_YEAST DNA polymerase V OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POL5 PE=1 SV=1,8,8,7,9,10,9,10,12,10,7,9,8,8,8,5,5,4,6,6,3,7
P39986,P39986,Probable cation-transporting ATPase 1,SPF1,>sp|P39986|ATC6_YEAST Probable cation-transporting ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPF1 PE=1 SV=1,1,1,0,3,3,6,3,2,4,2,0,0,0,1,0,1,0,3,2,2,6
P39990,P39990,13 kDa ribonucleoprotein-associated protein,SNU13,>sp|P39990|SNU13_YEAST 13 kDa ribonucleoprotein-associated protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNU13 PE=1 SV=1,9,6,10,5,5,7,7,3,4,11,5,10,9,11,7,5,8,5,6,5,4
P39993,P39993,ARF guanine-nucleotide exchange factor 2,GEA2,>sp|P39993|GEA2_YEAST ARF guanine-nucleotide exchange factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GEA2 PE=1 SV=1,0,1,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
P39998,P39998,Enhancer of mRNA-decapping protein 3,EDC3,>sp|P39998|EDC3_YEAST Enhancer of mRNA-decapping protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EDC3 PE=1 SV=1,0,0,0,2,2,1,2,0,2,1,1,1,1,0,1,2,2,2,2,1,2
P40006,P40006,Increased recombination centers protein 22,IRC22,>sp|P40006|IRC22_YEAST Increased recombination centers protein 22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IRC22 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40007,P40007,Nucleolar protein 16,NOP16,>sp|P40007|NOP16_YEAST Nucleolar protein 16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP16 PE=1 SV=1,3,1,3,4,3,2,6,7,5,5,3,3,4,4,4,6,4,6,5,7,4
P40010,P40010,Nuclear GTP-binding protein NUG1,NUG1,>sp|P40010|NUG1_YEAST Nuclear GTP-binding protein NUG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUG1 PE=1 SV=1,20,18,21,24,23,26,22,20,20,17,19,20,23,18,18,18,13,16,16,17,16
P40013,P40013,Protein BIM1,BIM1,>sp|P40013|BIM1_YEAST Protein BIM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BIM1 PE=1 SV=1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40016,P40016,26S proteasome regulatory subunit RPN3,RPN3,>sp|P40016|RPN3_YEAST 26S proteasome regulatory subunit RPN3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN3 PE=1 SV=5,3,0,2,4,1,0,1,1,2,2,1,0,0,2,1,0,0,0,0,0,0
P40017,P40017,Carnitine O-acetyltransferase YAT2,YAT2,>sp|P40017|YAT2_YEAST Carnitine O-acetyltransferase YAT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YAT2 PE=1 SV=1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40018,P40018,Small nuclear ribonucleoprotein-associated protein B,SMB1,>sp|P40018|RSMB_YEAST Small nuclear ribonucleoprotein-associated protein B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SMB1 PE=1 SV=1,3,1,2,4,5,5,3,5,5,2,2,2,2,1,3,2,2,1,3,1,2
P40024,P40024,ABC transporter ATP-binding protein ARB1,ARB1,>sp|P40024|ARB1_YEAST ABC transporter ATP-binding protein ARB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARB1 PE=1 SV=1,54,47,51,48,44,46,41,40,37,43,42,42,39,41,37,37,23,38,41,39,38
P40029,P40029,Peptide methionine sulfoxide reductase,MXR1,>sp|P40029|MSRA_YEAST Peptide methionine sulfoxide reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MXR1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40030,P40030,Ergosterol biosynthetic protein 28,ERG28,>sp|P40030|ERG28_YEAST Ergosterol biosynthetic protein 28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG28 PE=1 SV=1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,1,1
P40032,P40032,PKHD-type hydroxylase TPA1,TPA1,>sp|P40032|TPA1_YEAST PKHD-type hydroxylase TPA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPA1 PE=1 SV=1,0,5,1,3,2,0,1,1,2,0,3,0,0,0,1,0,0,0,0,1,0
P40033,P40033,"37S ribosomal protein RSM18, mitochondrial",RSM18,">sp|P40033|RSM18_YEAST 37S ribosomal protein RSM18, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSM18 PE=1 SV=2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40035,P40035,Mitochondrial phosphate carrier protein 2,PIC2,>sp|P40035|PIC2_YEAST Mitochondrial phosphate carrier protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIC2 PE=1 SV=1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
P40041,P40041,Transcription factor VHR2,VHR2,>sp|P40041|VHR2_YEAST Transcription factor VHR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VHR2 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40043,P40043,Respiratory growth induced protein 1,RGI1,>sp|P40043|RGI1_YEAST Respiratory growth induced protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RGI1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40046,P40046,Vacuolar transporter chaperone 1,VTC1,>sp|P40046|VTC1_YEAST Vacuolar transporter chaperone 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VTC1 PE=1 SV=3,0,1,0,1,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0
P40047,P40047,"Aldehyde dehydrogenase 5, mitochondrial",ALD5,">sp|P40047|ALDH5_YEAST Aldehyde dehydrogenase 5, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALD5 PE=1 SV=4",2,0,1,5,2,2,3,4,4,3,1,2,0,0,0,0,0,2,0,1,0
P40050,P40050,Uncharacterized protein YER077C,YER077C,>sp|P40050|YEQ7_YEAST Uncharacterized protein YER077C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YER077C PE=1 SV=1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
P40053,P40053,"Altered inheritance of mitochondria protein 9, mitochondrial",AIM9,">sp|P40053|AIM9_YEAST Altered inheritance of mitochondria protein 9, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM9 PE=1 SV=1",1,1,0,2,1,0,3,1,1,0,1,2,0,0,1,0,1,0,0,1,0
P40054,P40054,D-3-phosphoglycerate dehydrogenase 1,SER3,>sp|P40054|SERA_YEAST D-3-phosphoglycerate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SER3 PE=1 SV=1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,2
P40055;REV__P69850,P40055,U3 small nucleolar RNA-associated protein 7,UTP7,>sp|P40055|UTP7_YEAST U3 small nucleolar RNA-associated protein 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP7 PE=1 SV=1,10,5,10,11,11,14,9,11,6,7,9,12,8,10,5,7,6,8,11,5,10
P40059,P40059,Transcriptional regulatory protein DOT6,DOT6,>sp|P40059|DOT6_YEAST Transcriptional regulatory protein DOT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DOT6 PE=1 SV=1,2,0,2,3,2,3,2,2,2,1,2,1,1,0,1,1,1,1,2,1,3
P40061,P40061,Target of rapamycin complex 2 subunit TSC11,TSC11,>sp|P40061|TSC11_YEAST Target of rapamycin complex 2 subunit TSC11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TSC11 PE=1 SV=1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
P40064,P40064,Nucleoporin NUP157,NUP157,>sp|P40064|NU157_YEAST Nucleoporin NUP157 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP157 PE=1 SV=1,2,0,1,6,4,4,4,4,5,1,4,1,2,4,2,2,1,4,2,2,2
P40066,P40066,Nucleoporin GLE2,GLE2,>sp|P40066|GLE2_YEAST Nucleoporin GLE2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLE2 PE=1 SV=1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P40069,P40069,Importin subunit beta-4,KAP123,>sp|P40069|IMB4_YEAST Importin subunit beta-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP123 PE=1 SV=1,7,2,6,10,11,9,7,8,10,9,10,7,11,11,8,7,0,9,5,3,9
P40070,P40070,U6 snRNA-associated Sm-like protein LSm4,LSM4,>sp|P40070|LSM4_YEAST U6 snRNA-associated Sm-like protein LSm4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSM4 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40075,P40075,Vesicle-associated membrane protein-associated protein SCS2,SCS2,>sp|P40075|SCS2_YEAST Vesicle-associated membrane protein-associated protein SCS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCS2 PE=1 SV=3,0,0,2,1,3,1,1,1,1,0,0,0,0,0,0,1,0,1,1,2,1
P40078,P40078,Ribosome biogenesis protein NSA2,NSA2,>sp|P40078|NSA2_YEAST Ribosome biogenesis protein NSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NSA2 PE=1 SV=1,6,3,3,9,10,5,5,4,4,4,2,3,4,4,4,2,2,4,2,3,3
P40079,P40079,U3 small nucleolar ribonucleoprotein protein LCP5,LCP5,>sp|P40079|LCP5_YEAST U3 small nucleolar ribonucleoprotein protein LCP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LCP5 PE=1 SV=1,1,0,2,2,1,3,2,1,1,1,1,1,1,0,1,1,1,1,1,0,1
P40081,P40081,Putative magnesium-dependent phosphatase YER134C,YER134C,>sp|P40081|MGDP1_YEAST Putative magnesium-dependent phosphatase YER134C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YER134C PE=1 SV=1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
P40086,P40086,Cytochrome c oxidase assembly protein COX15,COX15,>sp|P40086|COX15_YEAST Cytochrome c oxidase assembly protein COX15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX15 PE=1 SV=1,0,0,0,1,0,0,2,2,2,1,0,1,0,1,0,0,0,0,0,0,0
P40088,P40088,Plasma membrane iron permease,FTR1,>sp|P40088|FTR1_YEAST Plasma membrane iron permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FTR1 PE=1 SV=1,0,2,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0
P40089,P40089,U6 snRNA-associated Sm-like protein LSm5,LSM5,>sp|P40089|LSM5_YEAST U6 snRNA-associated Sm-like protein LSm5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSM5 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40098,P40098,Uncharacterized mitochondrial membrane protein FMP10,FMP10,>sp|P40098|FMP10_YEAST Uncharacterized mitochondrial membrane protein FMP10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP10 PE=1 SV=1,1,1,1,0,1,1,2,2,1,1,2,1,1,0,1,1,0,1,1,2,1
P40099,P40099,5-formyltetrahydrofolate cyclo-ligase,FAU1,>sp|P40099|FTHC_YEAST 5-formyltetrahydrofolate cyclo-ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAU1 PE=1 SV=1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
P40150,P40150,Heat shock protein SSB2,SSB2,>sp|P40150|HSP76_YEAST Heat shock protein SSB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSB2 PE=1 SV=2,64,49,64,61,63,62,49,56,54,53,45,51,48,50,43,49,49,57,54,51,51
P40151,P40151,DNA-dependent ATPase MGS1,MGS1,>sp|P40151|WRIP1_YEAST DNA-dependent ATPase MGS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MGS1 PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P40152,P40152,Putative metallophosphoesterase YNL217W,,>sp|P40152|YNV7_YEAST Putative metallophosphoesterase YNL217W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL217W PE=1 SV=1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P40156,P40156,"Required for respiratory growth protein 9, mitochondrial",RRG9,">sp|P40156|RRG9_YEAST Required for respiratory growth protein 9, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRG9 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40157,P40157,Vacuolar import and degradation protein 27,VID27,>sp|P40157|VID27_YEAST Vacuolar import and degradation protein 27 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VID27 PE=1 SV=1,1,0,0,3,5,3,1,1,1,1,1,1,0,1,2,1,0,2,1,0,0
P40159,P40159,Uncharacterized protein YNL208W,,>sp|P40159|YNU8_YEAST Uncharacterized protein YNL208W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL208W PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40160,P40160,Serine/threonine-protein kinase RIO2,RIO2,>sp|P40160|RIO2_YEAST Serine/threonine-protein kinase RIO2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIO2 PE=1 SV=1,2,2,1,5,3,2,1,2,4,2,1,5,3,2,1,1,1,1,2,4,2
P40161,P40161,Histone chaperone RTT106,RTT106,>sp|P40161|RT106_YEAST Histone chaperone RTT106 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTT106 PE=1 SV=1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
P40165,P40165,NAD(P)H-hydrate epimerase,,>sp|P40165|NNRE_YEAST NAD(P)H-hydrate epimerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL200C PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40185,P40185,"Protein MMF1, mitochondrial",MMF1,">sp|P40185|MMF1_YEAST Protein MMF1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MMF1 PE=1 SV=1",1,3,0,2,2,0,0,0,0,4,3,0,0,0,2,0,0,0,0,0,0
P40210,P40210,Protein SIP5,SIP5,>sp|P40210|SIP5_YEAST Protein SIP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIP5 PE=1 SV=1,1,2,2,3,5,3,0,1,2,4,2,1,1,1,1,2,1,2,2,4,2
P40212,P40212,60S ribosomal protein L13-B,RPL13B,>sp|P40212|RL13B_YEAST 60S ribosomal protein L13-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL13B PE=1 SV=1,14,13,14,14,16,17,11,13,9,14,15,13,14,13,16,14,10,14,16,13,11
P40215,P40215,"External NADH-ubiquinone oxidoreductase 1, mitochondrial",NDE1,">sp|P40215|NDH1_YEAST External NADH-ubiquinone oxidoreductase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NDE1 PE=1 SV=1",0,0,0,0,0,0,4,1,3,1,0,0,0,0,0,2,0,2,0,1,2
P40217,P40217,Eukaryotic translation initiation factor 3 subunit I,TIF34,>sp|P40217|EIF3I_YEAST Eukaryotic translation initiation factor 3 subunit I OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF34 PE=1 SV=1,17,11,14,13,16,12,7,9,13,9,13,16,12,10,10,7,5,8,6,8,10
P40218,P40218,Uncharacterized protein YMR147W,,>sp|P40218|YM24_YEAST Uncharacterized protein YMR147W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR147W PE=1 SV=1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40302,P40302,Proteasome subunit alpha type-6,PRE5,>sp|P40302|PSA6_YEAST Proteasome subunit alpha type-6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE5 PE=1 SV=1,0,0,0,3,3,1,3,1,3,1,2,0,0,0,1,1,0,2,2,1,2
P40303,P40303,Proteasome subunit alpha type-4,PRE6,>sp|P40303|PSA4_YEAST Proteasome subunit alpha type-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE6 PE=1 SV=1,2,0,2,1,1,2,2,2,0,0,1,0,0,1,0,1,1,2,1,1,2
P40308,P40308,Lipase 3,TGL3,>sp|P40308|TGL3_YEAST Lipase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TGL3 PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40318,P40318,ERAD-associated E3 ubiquitin-protein ligase DOA10,SSM4,>sp|P40318|DOA10_YEAST ERAD-associated E3 ubiquitin-protein ligase DOA10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSM4 PE=1 SV=1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P40319,P40319,Elongation of fatty acids protein 3,SUR4,>sp|P40319|ELO3_YEAST Elongation of fatty acids protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUR4 PE=1 SV=1,1,1,0,2,2,0,2,2,1,2,1,1,1,1,1,2,1,2,2,2,2
P40327,P40327,26S protease regulatory subunit 4 homolog,RPT2,>sp|P40327|PRS4_YEAST 26S protease regulatory subunit 4 homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT2 PE=1 SV=3,4,1,3,3,6,5,3,4,4,4,3,2,3,3,1,3,2,2,3,4,4
P40328,P40328,Probable 26S protease subunit YTA6,YTA6,>sp|P40328|TBP6_YEAST Probable 26S protease subunit YTA6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YTA6 PE=1 SV=2,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1
P40339,P40339,Replication factor C subunit 4,RFC4,>sp|P40339|RFC4_YEAST Replication factor C subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RFC4 PE=1 SV=1,6,3,5,8,6,11,7,7,11,2,4,5,5,7,4,5,2,4,4,3,6
P40340,P40340,Tat-binding homolog 7,YTA7,>sp|P40340|TBP7_YEAST Tat-binding homolog 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YTA7 PE=1 SV=2,2,1,0,4,3,1,5,4,4,5,1,2,2,1,3,2,2,3,3,4,3
P40341,P40341,Mitochondrial respiratory chain complexes assembly protein YTA12,YTA12,>sp|P40341|YTA12_YEAST Mitochondrial respiratory chain complexes assembly protein YTA12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YTA12 PE=1 SV=2,0,2,0,1,0,1,1,1,1,0,0,0,1,1,2,0,0,0,0,0,1
P40343,P40343,Vacuolar protein sorting-associated protein 27,VPS27,>sp|P40343|VPS27_YEAST Vacuolar protein sorting-associated protein 27 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS27 PE=1 SV=3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P40345,P40345,Phospholipid:diacylglycerol acyltransferase,LRO1,>sp|P40345|PDAT_YEAST Phospholipid:diacylglycerol acyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LRO1 PE=1 SV=1,0,0,1,2,2,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
P40347,P40347,Low molecular weight phosphotyrosine protein phosphatase,LTP1,>sp|P40347|PPAL_YEAST Low molecular weight phosphotyrosine protein phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LTP1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P40348,P40348,Replication factor C subunit 2,RFC2,>sp|P40348|RFC2_YEAST Replication factor C subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RFC2 PE=1 SV=1,8,6,9,11,12,11,10,13,13,12,12,13,10,9,10,11,8,10,12,6,10
P40350,P40350,Dolichyl-phosphate beta-glucosyltransferase,ALG5,>sp|P40350|ALG5_YEAST Dolichyl-phosphate beta-glucosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALG5 PE=1 SV=1,0,1,1,1,1,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0
P40352,P40352,DNA repair and recombination protein RAD26,RAD26,>sp|P40352|RAD26_YEAST DNA repair and recombination protein RAD26 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAD26 PE=1 SV=1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
P40358,P40358,DnaJ-like chaperone JEM1,JEM1,>sp|P40358|JEM1_YEAST DnaJ-like chaperone JEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=JEM1 PE=1 SV=3,0,0,0,2,1,1,2,3,2,0,0,0,0,0,0,0,0,0,1,2,1
P40362,P40362,U3 small nucleolar RNA-associated protein 18,UTP18,>sp|P40362|UTP18_YEAST U3 small nucleolar RNA-associated protein 18 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP18 PE=1 SV=1,4,2,5,3,4,5,6,6,6,4,4,2,5,3,2,5,2,4,5,3,5
P40368,P40368,Nucleoporin NUP82,NUP82,>sp|P40368|NUP82_YEAST Nucleoporin NUP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP82 PE=1 SV=2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P40413,P40413,T-complex protein 1 subunit epsilon,CCT5,>sp|P40413|TCPE_YEAST T-complex protein 1 subunit epsilon OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT5 PE=1 SV=3,2,1,2,4,4,5,8,6,7,2,2,2,2,3,1,2,0,2,3,0,2
P40422,P40422,"DNA-directed RNA polymerases I, II, and III subunit RPABC4",RPC10,">sp|P40422|RPAB4_YEAST DNA-directed RNA polymerases I, II, and III subunit RPABC4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPC10 PE=1 SV=1",3,2,3,1,1,1,2,0,2,3,2,1,1,1,2,1,0,2,3,2,2
P40433,P40433,6-phosphofructo-2-kinase 1,PFK26,>sp|P40433|6P21_YEAST 6-phosphofructo-2-kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK26 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P40449,P40449,Uncharacterized protein YIL161W,YIL161W,>sp|P40449|YIQ1_YEAST Uncharacterized protein YIL161W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YIL161W PE=1 SV=1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
P40453,P40453,Ubiquitin carboxyl-terminal hydrolase 7,UBP7,>sp|P40453|UBP7_YEAST Ubiquitin carboxyl-terminal hydrolase 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBP7 PE=1 SV=1,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P40457,P40457,Protein MLP2,MLP2,>sp|P40457|MLP2_YEAST Protein MLP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MLP2 PE=1 SV=1,3,1,1,2,1,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
P40460,P40460,Kinetochore protein NDC80,TID3,>sp|P40460|NDC80_YEAST Kinetochore protein NDC80 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TID3 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
